Kunde;KNR;Atera ID;Install.
Deca-Tec;00003;91;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=91&integratorLogin=felix.peer%40xivtech.de&customerName=DECA-TEC%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=91 AccountId=0013z00002XjLmlAAF"
Porphyr Rotwand KG/SAS des Mayr Harald & Co.;00009;153;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=153&integratorLogin=felix.peer%40xivtech.de&customerName=Porphyr%20Rotwand%20KG%2FSAS%20des%20Mayr%20Harald%20%26%20Co.&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=153 AccountId=0013z00002XjLmlAAF"
Lantschner GmbH;00015;132;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=132&integratorLogin=felix.peer%40xivtech.de&customerName=Lantschner%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=132 AccountId=0013z00002XjLmlAAF"
Weingut & Kellerei J. Hofstätter GmbH;00020;156;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=156&integratorLogin=felix.peer%40xivtech.de&customerName=Weingut%20%26%20Kellerei%20J.%20Hofst%C3%A4tter%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=156 AccountId=0013z00002XjLmlAAF"
Santa Bernhard;00021;171;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=171&integratorLogin=felix.peer%40xivtech.de&customerName=Santa%20Bernhard&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=171 AccountId=0013z00002XjLmlAAF"
EL-COM GmbH;00031;101;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=101&integratorLogin=felix.peer%40xivtech.de&customerName=El-Com%20GmbH&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=101 AccountId=0013z00002XjLmlAAF"
Fahrschule Simon Unterweger;00039;106;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=106&integratorLogin=felix.peer%40xivtech.de&customerName=Fahrschule%20Simon%20Unterweger&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=106 AccountId=0013z00002XjLmlAAF"
Konsortium Südtiroler Wein;00041;130;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=130&integratorLogin=felix.peer%40xivtech.de&customerName=Konsortium%20S%C3%BCdtiroler%20Wein&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=130 AccountId=0013z00002XjLmlAAF"
Thaler Rebschulen der Thaler Stefanie;00050;163;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=163&integratorLogin=felix.peer%40xivtech.de&customerName=Thaler%20Rebschulen%20der%20Thaler%20Stefanie&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=163 AccountId=0013z00002XjLmlAAF"
Hofer Alfred Gartengestaltung;00051;118;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=118&integratorLogin=felix.peer%40xivtech.de&customerName=Hofer%20Alfred%20Gartengestaltung&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=118 AccountId=0013z00002XjLmlAAF"
Bertignoll Uhren;00055;83;"curl -o setup.msi ""https://sitcomputers.servicedesk.atera.com/GetAgent/Msi/?customerId=83&integratorLogin=felix.peer%40xivtech.de&customerName=Bertignoll%20KG&accountId=0013z00002XjLmlAAF"" && msiexec /i setup.msi /qn IntegratorLogin=felix.peer@xivtech.de CompanyId=83 AccountId=0013z00002XjLmlAAF"
